PROJECT_COUNT,REPORT_MONTH,G_PROJECT_KEY,ERC_CD,ORG,PROJECT_NAME,CONTRACT_STATUS,INSTALLED_CAP_MW,REPORTED_INST_CAP_MW,CONTRACTED_CAP_MW,PROJECT_TYPE,CONTRACT_TYPE,TECHNOLOGY_A_GROUP_1,TECHNOLOGY_A_GROUP_2,TECHNOLOGY_B_GROUP_1,TECHNOLOGY_B_GROUP_2,PRIMARY_FUEL_A_GROUP_1,PRIMARY_FUEL_A_GROUP_3,PRIMARY_FUEL_A_DETAIL,UTILIZATION,SCOD,COD,LICENSINGNO,EGAT_SYS_GEN,ERC_DISTRICT_NO,ERC_DISTRICT,PROVINCE,DISTRICT,SUBDISTRICT,COUNTRY_ZONE,IS_SHARING_LIC,SPP_VSPP_PLANT_CD,PPA_CONTRACT_NO,DISPLAY_ADDR,SPP_VSPP_ROWID,LINK_KV,SUBSTATION,EGAT_SUB,SOURCE
1,Sep 2022,1287,1121398,PEA,???.???? ???????? ???????????,COD ????,9.9,9.9,9,VSPP,Non-Firm,Thermal,Thermal,N/A,N/A,Renewable,MSW,???,Power Generation,30-Jun-18,14-Jun-18,??? 01-1(1)/61-769,NO   ,7,?????? 7 (???????),???????,????????????,?????????,???????,NO   ,PEA-1330-VC1-612,VSPP-PEA-030/2556,?????? 199 ??????? 7 ????????????? ????????????????? ?????????????? ???????????? 27000,11304,115,?????????? 2 & ???????,PA2,
1,Sep 2022,1639,1121750,PEA,???.???????? ????????? ?????????????????,COD ????,6,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,28-Apr-16,??? 01-1(1)/59-568,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1096-VC2-110,PVF1-PEA-146/2558,?????? 125/1 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,10754,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1640,1121751,PEA,???.???????? ????????? ?????????????????,COD ????,6,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,28-Apr-16,??? 01-1(1)/59-566,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1094-VC1-110,PVF1-PEA-136/2558,?????? 130/1 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11084,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1641,1121752,PEA,???.???????? ????????? ?????????????????,COD ????,6,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,28-Apr-16,??? 01-1(1)/59-567,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1095-VC1-110,PVF1-PEA-137/2558,?????? 128/1 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11085,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1643,1121754,PEA,???.???????? ????????? ?????????????????,COD ????,6,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,28-Apr-16,??? 01-1(1)/59-563,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1092-VNE2-110,PVF1-PEA-110/2558,?????? 122/1 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11111,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1644,1121755,PEA,???.???????? ????????? ?????????????????,COD ????,6,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,28-Apr-16,??? 01-1(1)/59-564,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1093-VNE2-110,PVF1-PEA-111/2558,?????? 121/1 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11112,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1645,1121756,PEA,???.???????? ????????? ?????????????????,COD ????,8,8,8,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,28-Apr-16,??? 01-1(1)/59-562,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1089-VN3-110,PVF1-PEA-098/2558,?????? 124/1 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11382,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1646,1121757,PEA,???.???????? ????????? ?????????????????,COD ????,6,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,28-Apr-16,??? 01-1(1)/59-565,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1097-VNE2-110,PVF1-PEA-114/2558,?????? 136/1 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11509,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1697,1121808,PEA,???.??????? ???????? (??????? 5),COD ????,6.8,8,8,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,16-Dec-15,??? 01-1(1)/58-442,NO   ,9,?????? 9 (?????????),?????????,???????,???????,???????,NO   ,PEA-0967-VNE2-110,PVF1-PEA-044/2558,?????? 76 ??????? 6 ??????????? ???????????? ???????????????? ???????????? 71160,10723,115,???????- ???.?????????????,KB2,
1,Sep 2022,1863,1121974,PEA,???.?????????? ????,COD ????,4.5,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,10-Jun-16,??? 01-1(1)/59-607,NO   ,10,?????? 10 (???????),????????,????,???????,??????,NO   ,PEA-0994-VS3-110,PVF1-PEA-149/2558,?????? 89/6 ??????? 4 ??????????? ????????? ??????????????? ???????????? 76120,10615,115,????2-??????3,HH,
