year,type,provinceNumber,provinceTranslate,regionNumber,province,fuel,contractCapacityMW,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2560,Solar PV Rooftop,49,ระยอง, 6 ,ระยอง,พลังงานแสงอาทิตย์,3.08715,300424,324625,361126,351278,280038,327344,304319,327185,318644,294248,260529,323039
2560,Solar PV Rooftop,58,ราชบุรี, 7 ,ราชบุรี,พลังงานแสงอาทิตย์,0.40984,34796,40333,48916,48420,44371,44018,41202,43730,44440,37410,31067,35044
2560,Solar PV Rooftop,30,ร้อยเอ็ด, 2 ,ร้อยเอ็ด,พลังงานแสงอาทิตย์,0.127085,14829,14571,14696,15472,15052,14121,12669,14682,13794,14712,13613,14199
2560,Solar PV Rooftop,45,ลพบุรี, 5 ,ลพบุรี,พลังงานแสงอาทิตย์,4.845905,485695,548031,617089,614397,576612,582565,536084,538132,507091,501198,468135,507552
2560,Solar PV Rooftop,4,ลำปาง, 4 ,ลำปาง,พลังงานแสงอาทิตย์,1.842545,170224,210582,226597,216925,216959,201935,179665,189084,183970,169869,160307,171290
2560,Solar PV Rooftop,2,ลำพูน, 4 ,ลำพูน,พลังงานแสงอาทิตย์,1.56049,139170,169145,192058,181335,180186,169412,155575,162801,162124,152594,139493,143731
2560,Solar PV Rooftop,33,ศรีสะเกษ, 2 ,ศรีสะเกษ,พลังงานแสงอาทิตย์,0.25911,27847,26578,28194,29065,26857,26955,25468,29082,26519,27774,25672,26708
2560,Solar PV Rooftop,22,สกลนคร, 2 ,สกลนคร,พลังงานแสงอาทิตย์,0.354905,34675,34878,35275,38269,29813,25868,24713,29244,27301,35359,33647,33695
2560,Solar PV Rooftop,73,สงขลา, 3 ,สงขลา,พลังงานแสงอาทิตย์,1.532635,128588,168357,195419,137564,158113,158081,168915,172075,155134,161938,105997,129167
2560,Solar PV Rooftop,72,สตูล, 3 ,สตูล,พลังงานแสงอาทิตย์,0.354925,31895,38480,45280,37279,35870,34336,37990,37997,32380,36485,26801,31414
2560,Solar PV Rooftop,57,สมุทรสงคราม, 7 ,สมุทรสงคราม,พลังงานแสงอาทิตย์,1.03504,102442,119217,140994,148815,132130,134210,122514,126473,134134,107240,95951,106345
2560,Solar PV Rooftop,55,สมุทรสาคร, 7 ,สมุทรสาคร,พลังงานแสงอาทิตย์,1.5786775,167822,204421,246250,248455,211778,219717,208894,224790,226691,174964,160800,178508
2560,Solar PV Rooftop,40,สระบุรี, 5 ,สระบุรี,พลังงานแสงอาทิตย์,1.20855,117437,132297,145068,153462,132769,150832,135892,138388,133290,133195,116497,124554
2560,Solar PV Rooftop,52,สระแก้ว, 6 ,สระแก้ว,พลังงานแสงอาทิตย์,0.071345,4110,4336,4651,4710,4574,5023,4509,6407,6613,6678,5511,6271
2560,Solar PV Rooftop,46,สิงห์บุรี, 5 ,สิงห์บุรี,พลังงานแสงอาทิตย์,0.08986,8046,9158,10581,10797,10080,10117,9035,9320,9032,9067,8238,8109
2560,Solar PV Rooftop,44,สุพรรณบุรี, 5 ,สุพรรณบุรี,พลังงานแสงอาทิตย์,0.4193,39074,43661,48374,50159,46870,48522,44458,49076,45755,43769,38605,38037
2560,Solar PV Rooftop,44,สุพรรณบุรี, 5 ,สุราษฎร์ธานี,พลังงานแสงอาทิตย์,2.534645,177222,250287,285027,255300,246902,257274,263381,273721,254296,243168,162190,171735
2560,Solar PV Rooftop,38,สุรินทร์, 2 ,สุรินทร์,พลังงานแสงอาทิตย์,2.12978,231725,222432,255567,275173,250531,250781,232831,249870,222451,221347,208427,213637
2560,Solar PV Rooftop,12,สุโขทัย, 4 ,สุโขทัย,พลังงานแสงอาทิตย์,0.09836,8020,8804,9621,9762,9281,9107,8482,8667,8529,8404,7999,7959
2560,Solar PV Rooftop,24,หนองคาย, 2 ,หนองคาย,พลังงานแสงอาทิตย์,0.559854,44145,46346,45949,48608,43965,41616,38551,44353,41036,47416,47195,45084
2560,Solar PV Rooftop,24,หนองคาย, 2 ,หนองบัวลําภู,พลังงานแสงอาทิตย์,0.09047,5234,5020,6284,6996,7642,6529,5898,7032,6828,6566,6391,6137
2560,Solar PV Rooftop,28,อำนาจเจริญ, 2 ,อำนาจเจริญ,พลังงานแสงอาทิตย์,0.2815,20905,19794,21017,21408,21814,18933,16127,19576,18244,19638,18280,18891
2560,Solar PV Rooftop,19,อุดรธานี, 2 ,อุดรธานี,พลังงานแสงอาทิตย์,1.0041762,83362,83126,91974,91967,88432,77422,69973,83159,76503,79854,77147,72659
2560,Solar PV Rooftop,14,อุตรดิตถ์, 4 ,อุตรดิตถ์,พลังงานแสงอาทิตย์,0.47906,40760,44609,50475,50558,48512,43877,39342,44596,47198,45202,41977,39133
2560,Solar PV Rooftop,18,อุทัยธานี, 4 ,อุทัยธานี,พลังงานแสงอาทิตย์,0.21097,15620,18356,21419,21169,20376,21454,18247,19318,19347,17304,17108,15503
2560,Solar PV Rooftop,27,อุบลราชธานี, 2 ,อุบลราชธานี,พลังงานแสงอาทิตย์,2.33601,247484,239349,243422,250845,259446,239859,207964,250921,231921,234174,226403,238618
