PROJECT_COUNT,REPORT_MONTH,G_PROJECT_KEY,ERC_CD,ORG,PROJECT_NAME,CONTRACT_STATUS,INSTALLED_CAP_MW,REPORTED_INST_CAP_MW,CONTRACTED_CAP_MW,PROJECT_TYPE,CONTRACT_TYPE,TECHNOLOGY_A_GROUP_1,TECHNOLOGY_A_GROUP_2,TECHNOLOGY_B_GROUP_1,TECHNOLOGY_B_GROUP_2,PRIMARY_FUEL_A_GROUP_1,PRIMARY_FUEL_A_GROUP_3,PRIMARY_FUEL_A_DETAIL,UTILIZATION,SCOD,COD,LICENSINGNO,EGAT_SYS_GEN,ERC_DISTRICT_NO,ERC_DISTRICT,PROVINCE,DISTRICT,SUBDISTRICT,COUNTRY_ZONE,IS_SHARING_LIC,SPP_VSPP_PLANT_CD,PPA_CONTRACT_NO,DISPLAY_ADDR,SPP_VSPP_ROWID,LINK_KV,SUBSTATION,EGAT_SUB,SOURCE
1,Sep 2022,1882,1121993,PEA,บจก.อิแมก อินเตอร์,COD แล้ว,0,2.2,2.2,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,42368,42360,กกพ 01-1(1)/58-448,NO   ,10,เขตที่ 10 (ราชบุรี),เพชรบุรี,เขาย้อย,หนองชุมพล,ภาคใต้,YES  ,PEA-1602-VN3-110,PVF1-PEA-049/2558,เลขที่ 92/1และ 92/2 หมู่ที่ 6 ตำบลหนองชุมพล อำเภอเขาย้อย จังหวัดเพชรบุรี รหัสไปรษณีย์ 76140,12039,22,เขาย้อย 2,RB2,gis
1,Sep 2022,1883,1121994,PEA,บจก.อิแมก อินเตอร์,COD แล้ว,3.6,2.2,2.2,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,42368,42360,กกพ 01-1(1)/58-448,NO   ,10,เขตที่ 10 (ราชบุรี),เพชรบุรี,เขาย้อย,หนองชุมพล,ภาคใต้,YES  ,PEA-1603-VN3-110,PVF1-PEA-050/2558,เลขที่ 92/1และ 92/2 หมู่ที่ 6 ตำบลหนองชุมพล อำเภอเขาย้อย จังหวัดเพชรบุรี รหัสไปรษณีย์ 76140,12040,22,เขาย้อย 2,RB2,gis
1,Sep 2022,1885,1121996,PEA,บจก.อินเทค โซล่าร์,COD แล้ว,1,1,0.952,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41496,41473,Exempt,NO   ,5,เขตที่ 5 (อุบลราชธานี),มหาสารคาม,นาเชือก,ปอพาน,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0829-VNE2-110,VSPP-PEA-032/2555,ต.ปอพาน อ.นาเชือก จ.มหาสารคาม 44170,11378,22,พยัคฆภูมิพิสัย,PYK,vlook
1,Sep 2022,1886,1121997,PEA,บจก.อินเทค โซล่าร์,COD แล้ว,1,1,0.952,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41496,41473,Exempt,NO   ,5,เขตที่ 5 (อุบลราชธานี),มหาสารคาม,พยัคฆภูมิพิสัย,ก้ามปู,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0830-VNE2-110,VSPP-PEA-033/2555,ต.ก้ามปู อ.พยัคฆภูมิพิสัย จ.มหาสารคาม 44110,11379,22,พยัคฆภูมิพิสัย,PYK,vlook
1,Sep 2022,1889,1122000,PEA,บจก.อินทจันทร์ คลีน เอ็นเนอร์ยี่,COD แล้ว,0.24,0.24,0.2,VSPP,Non-Firm,Thermal,Thermal,N/A,N/A,Renewable,MSW,ขยะ,Power Generation,41759,41830,Exempt,NO   ,2,เขตที่ 2 (พิษณุโลก),กำแพงเพชร,เมืองกำแพงเพชร,ท่าขุนราม,ภาคเหนือ,NO   ,PEA-1252-VN2-612,VSPP-PEA-100/2555,ต.ท่าขุนราม อ.เมือง จ.กำแพงเพชร 62000,10666,22,กำแพงเพชร 1,KP,vlook
1,Sep 2022,189,1120267,PEA,บริษัท โซล่า เพาเวอร์ (สกลนคร 1) จำกัด,COD แล้ว,6.1236,5.94,5.88,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,40268,40575,กกพ 01-1(1)/54-135,NO   ,4,เขตที่ 4 (ขอนแก่น),สกลนคร,สว่างแดนดิน,บ้านถ่อน,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0038-VNE1-110,VSPP-PEA 009/2552,เลขที่ 88 หมู่ที่ 8 ตำบลบ้านถ่อน อำเภอสว่างแดนดิน จังหวัดสกลนคร รหัสไปรษณีย์ 47110,11408,22,พังโคน,PHK,vlook
1,Sep 2022,1890,1122001,PEA,บจก.อินฟินิท อัลฟา แคปปิตอล,COD แล้ว,10.18458,8,8,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41639,41731,กกพ 01-1(1)/62-906,NO   ,2,เขตที่ 2 (พิษณุโลก),ตาก,สามเงา,วังหมัน,ภาคเหนือ,NO   ,PEA-0823-VN2-110,VSPP-PEA-017/2554 (TC-1),เลขที่ 120 หมู่ที่ 1 ตำบลวังหมัน อำเภอสามเงา จังหวัดตาก รหัสไปรษณีย์ 63130,10728,22,ตาก,BB,vlook
1,Sep 2022,1894,1122005,PEA,บจก.อีเอส เพาเวอร์,COD แล้ว,3.368,3,3,VSPP,Non-Firm,Thermal,Thermal,N/A,N/A,Renewable,Biogas,ก๊าซชีวภาพ,Power Generation,41820,41740,กกพ 01-1(1)/56-325,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,วัฒนานคร,ห้วยโจด,ภาคกลาง,NO   ,PEA-1359-VC1-515,VSPP-PEA-014/2556,เลขที่ 470 หมู่ที่ 1 ถนนสุวรรณศร ตำบลห้วยโจด อำเภอวัฒนานคร จังหวัดสระแก้ว รหัสไปรษณีย์ 27160,11640,22,วัฒนานคร,WNK,vlook
1,Sep 2022,1895,1122006,PEA,บจก.อีเอสพีพี โครงการ 1,COD แล้ว,7.2,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41455,41551,กกพ 01-1(1)/56-302,NO   ,5,เขตที่ 5 (อุบลราชธานี),อุบลราชธานี,วารินชำราบ,เมืองศรีไค,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0447-VNE2-110,VSPP-PEA-089/2553,เลขที่ 392 หมู่ที่ 3 ตำบลเมืองศรีไค อำเภอวารินชำราบ จังหวัดอุบลราชธานี รหัสไปรษณีย์ 34190,11976,22,อุบลราชธานี 2,UB2,vlook
1,Sep 2022,1896,1122007,PEA,บจก.อีเอสพีพี โครงการ 2,COD แล้ว,7.63843,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41639,41754,กกพ 01-1(1)/57-356,NO   ,5,เขตที่ 5 (อุบลราชธานี),อุบลราชธานี,วารินชำราบ,สระสมิง,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0448-VNE2-110,VSPP-PEA-090/2553,เลขที่ 150 หมู่ที่ 2 ตำบลสระสมิง อำเภอวารินชำราบ จังหวัดอุบลราชธานี รหัสไปรษณีย์ 34190,11977,22,เดชอุดม,UB2,vlook
1,Sep 2022,1897,1122008,PEA,บจก.อีเอสพีพี โครงการ 3,COD แล้ว,5.09229,4,4,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41639,41754,กกพ 01-1(1)/57-353,NO   ,5,เขตที่ 5 (อุบลราชธานี),อุบลราชธานี,วารินชำราบ,สระสมิง,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0449-VNE2-110,VSPP-PEA-091/2553,เลขที่ 151 หมู่ที่ 2 ตำบลสระสมิง อำเภอวารินชำราบ จังหวัดอุบลราชธานี รหัสไปรษณีย์ 34190,10936,22,เดชอุดม,UB2,vlook
1,Sep 2022,1899,1122010,PEA,บจก.อีสเทิร์น ปาล์ม ออยล์,COD แล้ว,4.112,4,1,VSPP,Non-Firm,Thermal,Thermal,N/A,N/A,Renewable,Biogas,น้ำเสีย,Power Generation,42366,42506,กกพ 01-1(1)/58-411,NO   ,8,เขตที่ 8 (ชลบุรี),ชลบุรี,หนองใหญ่,เขาซก,ภาคกลาง,NO   ,PEA-1329-VC2-515,VSPP-PEA-053/2556,เลขที่ 156 หมู่ที่ 2 ตำบลเขาซก อำเภอหนองใหญ่ จังหวัดชลบุรี รหัสไปรษณีย์ 20190,11875,22,หนองใหญ่,BWN,vlook
1,Sep 2022,190,1120696,PEA,บริษัท โซล่า เพาเวอร์ (สกลนคร 2) จำกัด,COD แล้ว,7.46496,5.94,5.88,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41759,41754,กกพ 01-1(1)/57-333,NO   ,4,เขตที่ 4 (ขอนแก่น),สกลนคร,พังโคน,พังโคน,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0342-VNE1-110,VSPP-PEA-339/2552,เลขที่ 88/1 หมู่ที่ 11 ตำบลพังโคน อำเภอพังโคน จังหวัดสกลนคร รหัสไปรษณีย์ 47160,11409,22,พังโคน,PHK,vlook
1,Sep 2022,1902,1122013,PEA,บจก.อีสานไบโอเพาเวอร์,COD แล้ว,12,12,8,VSPP,Non-Firm,Thermal,Thermal,N/A,N/A,Renewable,Biomass,กากอ้อย,Power Generation,42094,42268,กกพ 01-1(2)/58-188,NO   ,5,เขตที่ 5 (อุบลราชธานี),กาฬสินธุ์,สามชัย,สำราญ,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0893-VNE2-416,VSPP-PEA-049/2555,เลขที่ 99 หมู่ที่ 9 ถนนวังสามหมอ-คำม่วง ตำบลสำราญ อำเภอสามชัย จังหวัดกาฬสินธุ์ รหัสไปรษณีย์ 46180,11677,22,ศรีธาตุ,NPO1,vlook
1,Sep 2022,1909,1122020,PEA,บจก.อู่ทอง ไบโอพาวเวอร์,COD แล้ว,9,9.9,8,VSPP,Non-Firm,Thermal,Thermal,N/A,N/A,Renewable,Biomass,แกลบ,Power Generation,41820,41669,กกพ 01-1(1)/56-332,NO   ,9,เขตที่ 9 (กาญจนบุรี),สุพรรณบุรี,อู่ทอง,พลับพลาไชย,ภาคกลาง,NO   ,PEA-1608-VC3-416,VSPP-PEA-021/2556,เลขที่ 145/2 หมู่ที่ 3 ตำบลพลับพลาไชย อำเภออู่ทอง จังหวัดสุพรรณบุรี รหัสไปรษณีย์ 72160,12045,22,อู่ทอง,KB2,vlook
1,Sep 2022,191,1120697,PEA,บริษัท โซล่า เพาเวอร์ (บุรีรัมย์ 1) จำกัด,COD แล้ว,6.123,5.94,5.88,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41578,41452,กกพ 01-1(1)/56-271,NO   ,6,เขตที่ 6 (นครราชสีมา),บุรีรัมย์,หนองกี่,ทุ่งกระเต็น,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0336-VNE3-110,VSPP-PEA-340/2552,เลขที่ 88/1 หมู่ที่ 6 ตำบลทุ่งกระเต็น อำเภอหนองกี่ จังหวัดบุรีรัมย์ รหัสไปรษณีย์ 31210,11818,22,หนองกี่,NR3,vlook
1,Sep 2022,1910,1122021,PEA,บมจ.เค.เอส.ไบโอพลัส (สาขา 2),COD แล้ว,4.248,4.248,4.065,VSPP,Non-Firm,Thermal,Thermal,N/A,N/A,Renewable,Biogas,ก๊าซชีวภาพ,Power Generation,41518,41737,กกพ 01-1(1)/57-357,NO   ,8,เขตที่ 8 (ชลบุรี),จันทบุรี,สอยดาว,ทับช้าง,ภาคกลาง,NO   ,PEA-1218-VC2-515,VSPP-PEA-050/2555,เลขที่ 333/1 หมู่ที่ 12 ตำบลทับช้าง อำเภอสอยดาว จังหวัดจันทบุรี รหัสไปรษณีย์ 22180,11355,22,โป่งน้ำร้อน,CT,vlook
